Station,Address,Year,Dist.,EMS,Other,Total,Assigned Equipment
39,"5810 Pickfair, 77026",1954,B,"5,792",872,"6,664","Engine, Ambulance"
40,"5830 Old Spanish Trail, 77023",1956,I,"9,282","1,105","10,387","Engine, Ambulance, Medic"
41,"805 Pearl, 77029",1955,H,"3,898",590,"4,488","Engine, Ambulance"
42,"8675 Clinton Drive, 77029",1979,B,"1,047",422,"1,469","Engine, Technical Rescue, Evacuation Boat, Rescue Boat, Rescue Boat, Utility Vehicle"
43,"7330 N. Wayside, 77028",1960,B,"5,186",656,"5,842","Engine, Medic"
44,"675 Maxey, 77013",1975,I,"4,086",661,"4,747","Engine, Ladder, Medic, Evacuation Boat, Evacuation Boat, Emergency Service Unit"
45,"4910 N. McCarty, 77013",1985,I,"1,435",921,"2,356","Engine, Ladder, District Chief, High Water Vehicle"
46,"3902 Corder, 77021",1979,D,"13,437","2,965","16,402","Engine, Ladder, Ambulance, Squad, District Chief"
47,"2615 Tidewater, 77045",1960,K,"5,047","1,060","6,107","Engine, Ambulance"
48,"11616 Chimney Rock, 77035",1961,K,"5,302","1,250","6,552","Engine, Ambulance"
49,"1212 Gessner, 77055",1960,A,"5,190","1,259","6,449","Engine, Medic"
50,"4420 Bingle, 77092",1960,A,"7,739","1,270","9,009","Engine, Medic, Ambulance Supervisor"
51,"6902 Bellaire, 77074",1961,J,"9,498","2,677","12,175","Engine, Ladder, Ambulance"
52,"10343 Hartsook, 77034",1962,E,"6,289","1,044","7,333","Engine, Ambulance"
53,"13349 Vicksburg, 77015",1995,E,736,236,972,Engine
54,"19006 Aldine Westfield, 77073",2002,B,489,716,"1,205","Specialized Aircraft Rescue Units, Triage Trailer"
55,"11212 Cullen, 77047",2019,D,"11,536","1,553","13,089","Engine, Ladder, Medic, Ambulance"
56,"5820 E. Little York, 77016",1972,B,"8,340","1,408","9,748","Engine, Ladder, Medic, Ambulance  "
57,"13602 Memorial, 77079",1957,G,"1,745","2,293","4,038","Engine, Sr. Safety Officer"
58,"10413 Fulton, 77076",1967,H,"9,620","1,417","11,037","Engine, Ambulance, Medic, High Water Vehicle"
59,"13925 S. Post Oak, 77045",1967,K,"6,328","1,725","8,053","Engine, Ladder, Medic, District Chief"
60,"2925 Jeanetta, 77063",1966,F,"10,463","2,054","12,517","Engine, Ambulance, Medic"
61,"9726 Monroe, 77075",1968,D,"2,182",910,"3,092","Engine, Ladder"
62,"1602 Seamist, 77008",1968,C,"5,278","1,065","6,343","Engine, Medic"
63,"5626 Will Clayton Pkwy, 77032",1972,B,"2,543",781,"3,324","Engine, Medic, Booster, Decon Task Force Truck and Trailer"
64,"3000 Greens Rd, 77032",1987,B,"4,062","1,612","5,674","Engine, Tower, Ambulance, District Chief"
65,"11531 FM 1960 East, 77336",1983,E,"1,043",244,"1,287","Engine, Medic,  Booster/High Water Vehicle, Fire Boat"
66,"5800 Teague, 77041",1972,A,"1,491","1,240","2,731","Engine, Hazardous Materials Unit, Evacuation Boat, Booster, Emergency Service Unit"
67,"1616 W. Little York, 77088",2017,B,"11,039","1,773","12,812","Engine, Ladder, Ambulance, Medic"
68,"8602 Bissonnett, 77074",1972,J,"11,914","3,743","15,657","Engine, Ladder, Ambulance, District Chief"
69,"1102 West Belt South, 77042",1978,G,"8,087","1,753","9,840","Engine, Tower, Ambulance, Ambulance Supervisor"
70,"11410 Beamer, 77089",1983,D,"4,423","1,208","5,631","Engine, Medic, District Chief"
71,"15200 Space Center, 77062",1989,E,"2,122","1,102","3,224","Engine, Ladder, Medic, District Chief, High Water Vehicle"
72,"17401 Saturn Lane, 77058",2000,E,"1,514",540,"2,054","Engine, Medic"
73,"9640 Wilcrest, 77099",1985,J,"11,196","1,558","12,754","Engine, Ambulance, Peak Time Ambulance, Medic"
74,"460 Aldine Bender, 77060",1982,B,"7,426","1,151","8,577","Engine, Ambulance, Medic"
75,"1995 Dairy Ashford, 77077",1982,G,"5,002","1,773","6,775","Engine, Ladder, Medic, Evacuation Boat, Evacuation Boat, Emergency Service Unit"
76,"7200 Cook, 77072",1985,F,"6,531","1,338","7,869","Engine, Ladder, Ambulance"
77,"10155 Kempwood, 77080",1990,A,"5,558","1,435","6,993","Engine, Ladder, Ambulance,  Booster/High Water Vehicle, Rescue Boat"
78,"15100 Memorial, 77079",1985,G,"3,521","1,584","5,105","Engine, Ladder, Medic, District Chief, High Water Vehicle"
80,"16111 Chimney Rock, 77489",1985,K,"6,917",889,"7,806","Engine, Medic, Booster, Evacuation Boat, Emergency Service Unit"
81,"7900 Paul B. Koonce, 77061",2025**,D,776,334,"1,110","Specialized Aircraft Rescue Units, Triage Trailer"
82,"11250 Braesridge, 77071",1995,K,"8,684","2,056","10,740","Engine, Ambulance, Squad, Ambulance Supervisor, Booster, Evacuation Boat, Emergency Service Unit, Decon Task Force Truck and Trailer"
83,"3350 Breezewood, 77082",2006,F,"8,805","2,289","11,094","Engine, Ambulance, District Chief"
84,"320 Gears Rd, 77067",2015,B,"5,868","1,442","7,310","Engine, Ladder, Ambulance, High Water Vehicle, Evacuation Boat, Evacuation Boat, Emergency Service Unit"
86,"14300 Briar Forest, 77077",2006,G,"3,061",969,"4,030","Engine, Medic, Booster/High Water Vehicle"
90,"16553 Park Row, 77084",2010,A,"2,605",987,"3,592","Engine, Ladder, Ambulance, Evacuation Boat, Evacuation Boat, Emergency Service Unit"
92,"3804 Will Clayton, 77032",2025**,D,"1,573",500,"2,073",Specialized Aircraft Rescue Units
93,"911 FM 1959, 77546",1989,E,"3,359",849,"4,208","Engine, Ladder, Ambulance, Booster, Evacuation Boat"
94,"235 El Dorado, 77058",2002,E,"2,907",604,"3,511","Engine, Medic"
96,"7409 Willowchase, 77064",2002,A,"3,025",625,"3,650","Engine, Quint, Medic"
99,"18580 Chanute, 77032",2002,B,3,86,89,Specialized Aircraft Rescue Units
101,"1863 Kingwood Dr., 77339",1997,E,"3,121",844,"3,965","Quint, Medic, Booster/High Water Vehicle, Evacuation Boat"
102,"4102 Lake Houston Parkway, 77345",1997,E,"2,616",993,"3,609","Engine, Ladder, Medic, District Chief, High Water Vehicle, Evacuation Boat, Evacuation Boat, Decon Task Force Truck and Trailer"
103,"2907 High Valley Dr., 77345",1992,E,351,274,625,"Engine, Booster/High Water Vehicle, Evacuation Boat, Utility Cart"
104,"910 Forest Cove Dr., 77339",1994,E,590,367,957,Engine
105,"14014 Lake Houston Parkway, 77044",2008,E,"1,153",290,"1,443","Engine, Medic, Evacuation Boat, Utility Vehicle"
* Major renovations budgeted,,,,,,,
** Under construction,,,,,,,
