Station,Latitude,Longitude,address,district_number,geometry
35,29.6570837,-95.2800964,7720 Airport Blvd. 77061,26,POINT (-95.28009639999999 29.6570837)
36,29.7016926,-95.4406911,"7026 Stella Link, 77025",21,POINT (-95.4406911 29.70169259999999)
37,29.7114589,-95.3154784,"1120 Silber, 77023",5,POINT (-95.31547839999999 29.7114589)
38,29.8127917,-95.318644,"5810 Pickfair, 77026",34,POINT (-95.31864399999999 29.8127917)
39,29.7101165,-95.3208294,"5830 Old Spanish Trail, 77023",26,POINT (-95.3208294 29.7101165)
40,29.7597385,-95.2632201,"805 Pearl, 77029",45,POINT (-95.2632201 29.7597385)
41,29.7436575,-95.2728662,"8675 Clinton Drive, 77029",20,POINT (-95.2728662 29.7436575)
42,29.8282711,-95.2840491,"7330 N. Wayside, 77028",34,POINT (-95.28404909999999 29.8282711)
43,29.7781248,-95.218071,"675 Maxey, 77013",45,POINT (-95.218071 29.7781248)
44,29.8052248,-95.2638971,"4910 N. McCarty, 77013",45,POINT (-95.2638971 29.8052248)
45,29.6859018,-95.3642948,"3902 Corder, 77021",46,POINT (-95.3642948 29.6859018)
46,29.6317182,-95.4137137,"2615 Tidewater, 77045",59,POINT (-95.4137137 29.6317182)
47,29.6533973,-95.4810785,"11616 Chimney Rock, 77035",59,POINT (-95.4810785 29.6533973)
48,29.7911627,-95.5442974,"1212 Gessner, 77055",5,POINT (-95.54429739999999 29.7911627)
49,29.8265052,-95.4672962,"4420 Bingle, 77092",4,POINT (-95.46729619999999 29.8265052)
50,29.7057858,-95.4588299,"6902 Bellaire, 77074",68,POINT (-95.4588299 29.7057858)
51,29.6350966,-95.229682,"10343 Hartsook, 77034",70,POINT (-95.229682 29.6350966)
52,32.3526456,-90.877882,"13349 Vicksburg, 77015",45,POINT (-90.877882 32.3526456)
53,29.9701007,-95.3620451,"19006 Aldine Westfield, 77073",ARFF,POINT (-95.36204509999999 29.9701007)
54,29.5981013,-95.4044268,"11402 Cullen, 77047",46,POINT (-95.4044268 29.5981013)
55,29.8698911,-95.3931686,"5820 E. Little York, 77016",34,POINT (-95.3931686 29.8698911)
56,29.7801889,-95.6090009,"13602 Memorial, 77079",78,POINT (-95.6090009 29.7801889)
57,29.8570671,-95.3835408,"10413 Fulton, 77076",31,POINT (-95.38354079999999 29.8570671)
58,29.624456,-95.4647953,"13925 S. Post Oak, 77045",59,POINT (-95.46479529999999 29.624456)
59,29.7332677,-95.5247814,"2925 Jeanetta, 77063",28,POINT (-95.52478140000001 29.7332677)
60,29.6211025,-95.2632201,"9726 Monroe, 77075",70,POINT (-95.2632201 29.6211025)
61,29.7981118,-95.4377323,"1602 Seamist, 77008",6,POINT (-95.4377323 29.7981118)
62,29.9844338,-95.3094549,"5626 Will Clayton Pkwy, 77032",64,POINT (-95.30945489999999 29.9844338)
63,29.9508745,-95.3420129,"3000 Greens Rd, 77032",64,POINT (-95.3420129 29.9508745)
64,30.0202946,-95.1019231,"11531 FM 1960 East, 77336",102,POINT (-95.1019231 30.0202946)
65,29.8673877,-95.593239,"5800 Teague, 77041",4,POINT (-95.593239 29.86738769999999)
66,29.8637822,-95.4361482,"1616 W. Little York, 77088",4,POINT (-95.4361482 29.8637822)
67,29.677049,-95.5287434,"8602 Bissonnett, 77074",68,POINT (-95.5287434 29.677049)
68,29.7491566,-95.5587076,"1102 West Belt South, 77042",83,POINT (-95.5587076 29.7491566)
69,29.5824916,-95.2162283,"11410 Beamer, 77089",70,POINT (-95.2162283 29.5824916)
70,29.5819164,-95.1278834,"15200 Space Center, 77062",71,POINT (-95.1278834 29.5819164)
71,29.5581007,-95.1070736,"17401 Saturn Lane, 77058",71,POINT (-95.10707359999999 29.5581007)
72,29.672788,-95.5708366,"9640 Wilcrest, 77099",68,POINT (-95.57083659999999 29.672788)
73,29.9315886,-95.3915503,"460 Aldine Bender, 77060",64,POINT (-95.39155029999999 29.9315886)
74,29.7450033,-95.6047368,"1995 Dairy Ashford, 77077",78,POINT (-95.6047368 29.7450033)
75,29.7002646,-95.587986,"7200 Cook, 77072",83,POINT (-95.587986 29.7002646)
76,29.8223594,-95.5437293,"10155 Kempwood, 77080",5,POINT (-95.5437293 29.8223594)
77,29.7801889,-95.6090009,"15100 Memorial, 77079",78,POINT (-95.6090009 29.7801889)
78,29.5915071,-95.4831791,"16111 Chimney Rock, 77489",59,POINT (-95.4831791 29.5915071)
79,29.6408999,-95.2782659,"7900 Paul B. Koonce, 77061",ARFF,POINT (-95.2782659 29.6408999)
80,29.6579581,-95.5114042,"11250 Braesridge, 77071",68,POINT (-95.5114042 29.65795809999999)
81,29.7265054,-95.5777057,"3350 Breezewood, 77082",83,POINT (-95.57770570000001 29.7265054)
82,29.945884,-95.4194627,"320 Gears Rd, 77067",64,POINT (-95.4194627 29.945884)
83,29.7562573,-95.6377195,"14300 Briar Forest, 77077",78,POINT (-95.63771949999999 29.75625729999999)
84,29.7889307,-95.6695309,"16553 Park Row, 77084",78,POINT (-95.6695309 29.7889307)
85,29.9812075,-95.3331294,"3804 Will Clayton, 77032",ARFF,POINT (-95.33312939999999 29.9812075)
86,29.5899853,-95.1804801,"911 FM 1959, 77546",70,POINT (-95.1804801 29.5899853)
87,29.5642078,-95.0911062,"235 El Dorado, 77058",71,POINT (-95.09110620000001 29.5642078)
88,29.959288,-95.5521585,"7409 Willowchase, 77064",4,POINT (-95.55215849999999 29.959288)
89,29.970895,-95.3207069,"18580 Chanute, 77032",ARFF,POINT (-95.3207069 29.970895)
90,30.0516215,-95.2277326,"1863 Kingwood Dr., 77339",102,POINT (-95.2277326 30.0516215)
91,30.0656883,-95.1869729,"4102 Lake Houston Parkway, 77345",102,POINT (-95.1869729 30.0656883)
92,30.0589572,-95.156823,"2907 High Valley Dr., 77345",102,POINT (-95.15682299999999 30.0589572)
93,30.0293721,-95.238484,"910 Forest Cove Dr., 77339",102,POINT (-95.238484 30.0293721)
94,29.8970333,-95.1714678,"14014 Lake Houston Parkway, 77044",65,POINT (-95.1714678 29.8970333)
